MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
4.75,4.34,3.9,6,375,1,0,1,0,0,18.1
3.75,3.02,2.8,6,278,0,1,1,0,0,13.9
3.0,3.08,1.8,4,237,1,0,0,0,1,11.2
4.0,4.83,5.4,8,403,1,0,1,0,0,19.9
4.5,4.34,4.8,8,334,1,0,1,0,0,16.3
3.5,3.42,2.8,6,294,0,1,0,1,0,15.0
2.75,3.31,3.0,6,269,1,0,1,0,0,13.3
4.0,3.31,2.0,4,216,1,0,0,0,1,10.9
4.0,4.0,3.5,6,368,1,0,0,0,1,17.9
3.0,3.42,1.8,4,225,0,1,0,0,1,11.2
4.75,4.34,3.9,6,345,1,0,0,0,1,17.4
3.0,3.97,2.8,6,375,1,0,1,0,0,18.6
3.0,3.42,1.8,4,258,0,1,0,1,0,13.2
3.25,3.02,1.3,4,191,1,0,0,0,0,9.1
3.75,3.02,2.2,4,242,1,0,0,0,0,11.8
4.75,4.0,5.9,8,444,0,1,1,0,0,22.3
4.5,4.34,4.8,8,407,1,0,0,0,1,20.2
3.5,4.0,4.3,8,354,0,1,0,1,0,17.0
4.0,3.61,4.6,8,297,0,1,1,0,0,15.2
3.75,3.08,3.0,6,276,1,0,1,0,0,13.8
4.0,3.02,4.0,8,313,0,1,0,1,0,15.7
3.25,3.02,1.8,4,219,1,0,0,0,1,10.6
3.75,3.08,4.4,8,294,0,1,0,1,0,14.7
3.75,4.0,2.4,4,292,1,0,0,0,1,14.2
3.75,4.0,3.3,6,338,1,0,0,0,1,15.9
3.75,4.34,3.3,6,345,1,0,0,0,1,16.1
3.5,3.08,2.8,6,288,0,1,0,0,1,14.3
3.75,3.42,4.4,8,308,0,1,0,1,0,15.4
3.0,3.31,2.8,6,262,0,1,0,0,1,13.4
3.0,3.02,2.0,4,230,1,0,0,0,1,11.2
3.25,3.42,3.5,6,301,0,1,1,0,0,15.0
3.25,4.0,2.0,4,235,1,0,1,0,0,11.3
4.0,4.34,4.3,6,345,1,0,1,0,0,16.8
2.75,3.42,3.0,6,260,1,0,1,0,0,13.0
4.5,4.0,4.8,8,391,1,0,1,0,0,18.7
3.5,3.42,3.2,6,253,0,1,0,1,0,12.9
3.0,3.97,2.8,6,357,1,0,1,0,0,17.6
3.5,3.02,1.8,4,230,1,0,0,0,1,11.1
4.0,4.5,5.4,8,363,1,0,1,0,0,17.9
3.5,3.08,2.7,6,304,0,1,0,0,0,15.2
3.5,3.31,2.3,4,276,1,0,1,0,0,13.9
4.0,4.34,3.0,6,322,1,0,0,0,1,16.2
3.75,3.61,5.4,12,373,0,1,0,1,0,19.1
4.0,3.08,2.0,4,216,1,0,0,0,1,10.6
3.75,3.08,2.8,6,274,0,1,0,1,0,13.9
3.0,3.08,2.2,4,265,1,0,1,0,0,13.4
4.0,4.0,5.0,8,373,1,0,1,0,0,18.7
3.0,3.42,2.8,6,288,0,1,0,1,0,14.7
4.75,4.34,4.7,8,370,1,0,1,0,0,18.3
2.75,4.0,1.6,4,228,1,0,0,0,1,10.5
3.5,3.08,2.3,6,271,0,1,1,0,0,13.7
4.75,4.34,5.2,8,435,1,0,1,0,0,21.6
2.75,4.0,2.0,4,255,1,0,0,0,1,11.8
3.25,3.61,3.0,6,251,1,0,1,0,0,12.7
3.0,3.31,2.8,6,288,0,1,0,1,0,14.7
3.25,3.42,2.2,4,239,1,0,1,0,0,11.8
3.75,3.61,4.6,8,297,0,1,1,0,0,15.5
3.5,3.42,2.4,5,251,0,1,0,0,1,12.6
4.75,4.34,3.9,6,331,1,0,1,0,0,16.3
5.0,4.0,4.0,8,403,0,1,1,0,0,19.6
3.0,2.99,2.0,4,237,1,0,0,0,1,11.9
4.5,4.83,4.3,6,359,1,0,1,0,0,17.4
4.75,4.34,5.9,8,416,1,0,1,0,0,21.5
3.5,4.34,4.0,6,343,1,0,0,0,1,16.5
3.5,3.08,4.3,8,304,0,1,0,1,0,14.7
3.5,3.97,3.8,6,320,1,0,1,0,0,16.2
5.0,4.0,4.6,8,458,0,1,1,0,0,22.1
2.75,3.02,1.6,4,205,1,0,1,0,0,9.9
4.0,4.5,4.2,6,391,1,0,1,0,0,19.1
3.25,3.02,2.2,4,242,1,0,0,0,0,11.8
2.75,3.08,1.9,4,184,1,0,0,0,1,9.3
3.75,3.61,3.4,6,260,1,0,1,0,0,13.6
4.0,4.23,2.7,6,297,0,1,0,0,1,15.0
3.75,4.83,4.3,6,368,1,0,1,0,0,17.7
3.5,3.61,2.3,4,276,1,0,1,0,0,13.9
3.0,3.31,1.8,4,225,0,1,0,0,1,11.2
3.75,4.0,5.3,8,391,1,0,1,0,0,18.9
3.75,4.0,3.3,6,343,1,0,1,0,0,16.5
3.25,3.02,2.2,4,232,1,0,1,0,0,11.6
3.0,3.08,2.8,6,283,1,0,1,0,0,14.2
