Actual,Predicted
14.6,14.270382058828124
13.6,13.665033460406905
15.2,15.129997872223782
16.2,15.771892994014284
12.0,11.74261132401159
16.2,15.44591230640883
13.0,13.095476421651947
13.9,14.118882989428375
17.3,17.362859867819438
13.8,14.183270203915937
12.2,12.093355246587562
16.2,16.621353946175216
15.2,15.044703547318047
16.8,16.932807443309294
15.4,15.61966899367792
18.9,19.56260174943658
10.3,9.915949887599284
13.3,13.114063550929137
16.3,16.342188243425547
13.0,13.095476421651947
11.4,11.127379123928552
21.4,21.262273785459264
14.2,14.352312994853179
16.4,16.313129444485906
15.7,15.372475041452708
11.8,11.838086051650878
19.3,19.151767760660846
7.1,7.006542474893598
20.0,19.56841627318489
21.8,20.825179186707512
17.8,17.81413878089078
13.3,13.45461673151473
16.8,16.88875569810291
10.9,10.910731758318358
16.6,16.747402666708304
13.6,13.70959044753455
14.6,14.579759981813742
14.4,14.190970022878508
10.1,9.846541456876576
14.9,14.94002506979107
14.0,13.93762037050211
12.1,11.999886460250305
17.9,17.97106697029989
7.6,7.63381683184745
13.8,13.624388658312347
9.9,10.021481174012305
14.7,15.453164507212058
14.2,14.403063653453053
16.2,15.600064728706197
24.1,24.513082670210515
16.8,16.842693570843696
13.2,13.040116650959957
12.9,12.341069581446165
10.0,10.198579361974987
15.4,15.903444684759885
11.7,12.155861576868574
15.2,15.351539284111677
9.8,10.105947634521977
11.9,11.750043223870527
16.0,15.794775174610002
11.2,11.228657850354873
11.6,11.475593294161847
7.6,7.528433883072666
12.8,12.662407576828352
9.6,9.538315438123524
18.5,18.5254769130396
13.2,13.026115157368544
14.7,15.2358861160355
13.4,13.643640621362188
10.5,10.204183999122336
13.5,13.812711749233724
14.3,14.11286622073763
11.8,12.051421259677838
16.3,16.85830106882414
14.9,14.776223995665813
17.9,17.902820700295226
12.1,12.132832350995125
11.9,12.257437158963603
11.4,11.299065362945562
18.1,18.607903024490245
18.3,18.184751765125885
18.7,18.484956990701917
21.4,20.900181513180748
14.2,14.072958223728458
13.5,13.327673892065556
12.5,12.171996472862512
13.2,13.051961424387954
11.9,11.986714823118167
14.2,14.126536058350602
12.5,12.0068914361915
19.9,19.469715373377625
13.8,13.956379972491757
10.6,10.999800818161095
11.8,12.028964489428079
11.6,11.400041084300256
13.0,13.040527526058865
18.7,19.461454988248143
15.4,15.371662254783349
22.3,22.04032390114317
14.7,14.332893598722809
13.1,13.202499873204285
17.8,17.764172881736098
17.8,18.126265154014625
15.5,15.510014042895435
13.1,12.66521216897125
15.3,14.837255717921567
10.4,10.035540121931287
17.0,17.422724619430465
12.9,12.795089913804851
14.7,14.779470654761877
14.5,14.366955149073764
12.2,12.183469119053159
13.9,14.115203437215659
15.2,15.240353270526427
16.5,16.540798344489694
13.4,13.143762525923114
12.2,11.888896204070875
6.7,9.084030864904785
13.8,13.784200308717828
13.2,12.570500775359871
12.7,12.884998057660425
11.6,11.627042382507527
16.2,16.74060943934148
14.7,15.026051634290088
18.9,18.454747976876547
17.7,17.686371374171067
18.7,18.494078246974738
19.1,18.790941706012443
15.9,16.44941938412134
15.1,15.332368960899219
12.2,11.530833848288578
19.3,19.549599410957672
10.3,9.849195627631412
15.0,15.240252249485865
15.7,15.958334134318127
12.2,12.382744735009485
15.7,15.876246804777477
21.1,20.686205283257642
14.5,14.836165056319231
10.2,10.39145723162006
17.1,17.457243909827344
17.0,16.992386077147273
8.8,8.823656716699041
12.1,12.253169205050796
11.4,11.162942055987505
10.6,10.78066332257133
21.6,21.08918861448682
16.2,16.378517167062956
14.2,14.236908269942187
11.9,12.246137511202441
15.3,15.561937372621603
17.2,16.9991945678636
10.8,11.109569481523053
16.4,16.558683056097088
17.4,17.235338973997905
16.8,16.91727302187744
18.7,19.461454988248143
13.0,12.7941996905229
15.4,15.678497984932443
11.7,12.117400811703227
15.2,15.659461240265806
13.6,13.584031960949364
14.9,14.861534076144034
17.8,17.57130200177852
21.4,21.2325333839237
9.8,9.323962193934237
11.7,11.521165535655946
13.2,12.596347042379282
15.0,15.195731989858974
12.7,13.001648281147027
21.6,21.265800717448098
15.5,15.606944381966457
11.2,11.054898324046386
20.2,19.794582635665112
15.7,15.964683127052627
15.6,15.381431417271816
16.8,17.20478584312222
16.6,16.698960431038724
17.3,17.53745037692703
11.3,10.53420672267234
14.4,13.92266894086441
14.7,14.354001712789138
15.5,15.52716592444256
16.5,16.75782128629712
17.7,18.044234670839398
13.1,12.838362643381764
16.7,17.356389809748112
18.6,17.930836330784818
22.1,21.25110721892532
14.7,15.07491045650691
15.0,15.169227789716194
14.2,14.73186731407413
13.7,13.338888779059017
14.4,13.881324541921398
13.8,14.056178708530759
11.6,11.735282734768507
18.7,19.09936271596962
11.9,11.558544468999765
20.7,20.397882099550632
12.1,11.999886460250305
19.4,19.64193508717077
12.8,13.680510956493377
13.4,13.437879177837162
4.9,4.8337254201556314
14.5,14.836165056319231
13.8,13.37520839445857
15.2,15.336956001233958
12.5,12.432226379570468
16.1,16.582380599519517
15.0,14.602865433786464
15.1,14.645315316985965
9.3,9.329569695666962
15.4,16.00310942135597
10.6,10.191048516208914
11.4,11.296624564320098
20.6,15.610800938329083
13.9,13.828191294026835
17.3,17.541714072581296
6.7,9.09106255875314
15.5,15.513781179131861
12.5,12.44383975287468
15.4,15.200110236988696
18.2,18.43145322995102
13.4,13.335551293944043
13.9,13.92945710999226
